x,y,name
0.61674654,11.1171465,오프라인 위탁영업담당자
0.21056017,12.104169,온라인 영업MD
-0.6427989,7.9369617,교육 운영 매니저 Educational Operation Manager (Blockchain Engineering Bootcamp)
-2.5810874,7.01734,Product Manager (Blockchain Engineering Bootcamp)
-5.30538,2.5614815,관리적 보안 담당자
-2.663156,11.292316,PR 매니저(5년 이상)
1.9578481,10.645846,Corporate Development Manager(3년 이상)
-3.082761,9.14598,[블림프] 상품 기획자 (MD)
-2.8899329,6.828088,[블림프] 커머스 프로덕트 매니저
-0.9379762,1.4164059,Back-end(PHP) Engineer (상품서비스)
0.019458503,9.633839,[무신사 스탠다드 본부] 오프라인 점포 인테리어 파트장
0.6564628,10.14341,[무신사 스탠다드 본부] 오프라인 점포 운영 지원
0.10221332,10.831626,[무신사스탠다드 본부] 오프라인 점포 운영 관리자 (슈퍼바이저)
-0.6227407,3.74977,[ONiON] Backend Engineer (senior)
-0.5702263,3.7586396,[ONiON] Backend Engineer (junior)
0.42824408,0.16961639,백엔드 개발
-1.7784048,6.6621137,프로덕트 매니저
1.8987174,-0.43951872,프론트엔드 개발
3.3796422,-2.26018,웹 퍼블리셔
-2.7256331,2.927205,[Audit] Security Researcher
-0.3063103,7.305497,[Wallet] Business Development Manager
-7.4314895,8.15254,디자이너
-3.3066769,7.4774566,서비스 기획 (B2B 서비스 파트)
-3.9715636,6.37707,서비스 기획 (B2C 서비스 파트)
-4.574327,11.011919,동남아 퍼포먼스마케터
-5.9045706,11.176004,콘텐츠마케터
-4.9635167,11.77742,"바이럴, 유튜브 광고 PD(연출감독)"
-6.6588764,11.300424,영상 콘텐츠마케터
-5.935927,9.9289055,웹디자이너
-5.260243,11.076173,디지털마케터
0.23112811,11.022657,미국 마케팅 BM
0.46124798,10.319743,중동아프리카 마케팅 BM
-0.08829403,10.919203,유럽/오세아니아 마케팅 BM
2.6786082,0.39073592,웹개발 (Flutter / FE / UX)
3.5113773,8.714737,준법감시업무 담당자
-0.014849077,2.1638892,"Linux C, C++"
-0.20457302,0.8619714,Node 백엔드 개발
0.46244,8.037946,테크니컬 세일즈
0.7825239,7.2849345,B2B서비스 매니저
-5.9236937,9.053642,콘텐츠 디자이너
-4.614769,9.886748,콘텐츠 디자이너
-1.6201872,6.8605914,프로덕트 오너
-6.067507,9.438848,콘텐츠 디자이너
2.6823697,-0.81846356,웹퍼블리셔
-3.3367813,7.8316436,웹/모바일 서비스 UI/UX 기획자
1.8506082,-1.2592124,웹 프론트엔드 개발자
-2.9024522,3.302615,전장SW 테스트엔지니어
0.06964001,0.9031317,서비스 백엔드 개발자
-0.15437247,5.4127564,빅데이터 시스템 구축 프로젝트 PL
-0.15369838,5.6832,빅데이터 시스템 구축 프로젝트 PM
-4.196332,1.8382359,네트워크 엔지니어
-3.494385,1.6913433,서버 엔지니어
2.901709,-1.4974176,웹 프로그래머 (Front-end)
2.5799024,2.6203794,iOS 개발자
-4.2071915,8.578378,"그래픽,2D 디자이너(제품 기획 및 디자인)"
-4.1404743,8.041261,"3D(산업,제품) 디자이너"
-4.443503,10.019469,브랜드 디자이너 (브랜딩/컨텐츠/마케팅/그로스)
-4.312946,10.2889185,브랜드 디자이너 주니어 (브랜딩/컨텐츠/마케팅/그로스)
1.1353291,2.1214576,Windows 어플리케이션 개발자
-1.7337221,-0.5005547,JAVA 백엔드 개발자
-4.064674,6.5228767,커머스 플랫폼 & UX/UI 기획
-4.158855,13.3606,디지털 미디어플래너(AE)
-1.1726068,8.889159,상품기획 및 영업(팀장급/SKT 파견 근무)
4.1612983,10.772352,자금 담당
0.27061084,5.267229,데이터분석 / 추출 / 최적화(SKT 파견 근무)
2.069826,1.7231629,주니어 flutter(플러터) 앱 엔지니어
2.501913,1.4124963,시니어 flutter(플러터) 앱 엔지니어
-3.6881456,10.198197,콘텐츠 마케터 리드
-1.8532523,10.004261,이커머스 사업 기획
2.2706695,0.10203061,웹 개발자 (JAVA)
3.0339615,0.8207808,안드로이드 앱 개발자
-0.0680892,11.184675,자사몰 관리자
0.52660155,11.187869,"이커머스 채널영업, 영업기획, 영업지원"
-1.3903356,10.664156,온라인 채널 MD
0.7362956,11.508266,"유통 AMD (영업지원 Staff, 계약직)"
-0.9640049,6.238494,전략 및 기획
